attendance_id,enrollment_id,class_date,status
ATT000001,ENR00001,2024-01-22,Present
ATT000002,ENR00001,2024-01-29,Present
ATT000003,ENR00001,2024-02-05,Present
ATT000004,ENR00001,2024-02-12,Absent
ATT000005,ENR00001,2024-02-19,Present
ATT000006,ENR00001,2024-02-26,Present
ATT000007,ENR00001,2024-03-04,Present
ATT000008,ENR00001,2024-03-11,Present
ATT000009,ENR00001,2024-03-18,Present
ATT000010,ENR00001,2024-03-25,Absent
ATT000011,ENR00001,2024-04-01,Present
ATT000012,ENR00001,2024-04-08,Present
ATT000013,ENR00002,2024-01-22,Present
ATT000014,ENR00002,2024-01-29,Late
ATT000015,ENR00002,2024-02-05,Present
ATT000016,ENR00002,2024-02-12,Present
ATT000017,ENR00002,2024-02-19,Late
ATT000018,ENR00002,2024-02-26,Present
ATT000019,ENR00002,2024-03-04,Late
ATT000020,ENR00002,2024-03-11,Present
ATT000021,ENR00002,2024-03-18,Present
ATT000022,ENR00002,2024-03-25,Present
ATT000023,ENR00002,2024-04-01,Present
ATT000024,ENR00002,2024-04-08,Present
ATT000025,ENR00003,2024-01-22,Present
ATT000026,ENR00003,2024-01-29,Late
ATT000027,ENR00003,2024-02-05,Late
ATT000028,ENR00003,2024-02-12,Present
ATT000029,ENR00003,2024-02-19,Present
ATT000030,ENR00003,2024-02-26,Present
ATT000031,ENR00003,2024-03-04,Present
ATT000032,ENR00003,2024-03-11,Present
ATT000033,ENR00003,2024-03-18,Present
ATT000034,ENR00003,2024-03-25,Present
ATT000035,ENR00003,2024-04-01,Present
ATT000036,ENR00003,2024-04-08,Present
ATT000037,ENR00004,2024-01-22,Present
ATT000038,ENR00004,2024-01-29,Late
ATT000039,ENR00004,2024-02-05,Present
ATT000040,ENR00004,2024-02-12,Present
ATT000041,ENR00004,2024-02-19,Present
ATT000042,ENR00004,2024-02-26,Absent
ATT000043,ENR00004,2024-03-04,Present
ATT000044,ENR00004,2024-03-11,Present
ATT000045,ENR00004,2024-03-18,Present
ATT000046,ENR00004,2024-03-25,Late
ATT000047,ENR00004,2024-04-01,Present
ATT000048,ENR00004,2024-04-08,Present
ATT000049,ENR00005,2024-01-22,Present
ATT000050,ENR00005,2024-01-29,Present
ATT000051,ENR00005,2024-02-05,Absent
ATT000052,ENR00005,2024-02-12,Present
ATT000053,ENR00005,2024-02-19,Present
ATT000054,ENR00005,2024-02-26,Present
ATT000055,ENR00005,2024-03-04,Present
ATT000056,ENR00005,2024-03-11,Late
ATT000057,ENR00005,2024-03-18,Absent
ATT000058,ENR00005,2024-03-25,Present
ATT000059,ENR00005,2024-04-01,Present
ATT000060,ENR00005,2024-04-08,Present
ATT000061,ENR00006,2024-01-22,Present
ATT000062,ENR00006,2024-01-29,Present
ATT000063,ENR00006,2024-02-05,Present
ATT000064,ENR00006,2024-02-12,Present
ATT000065,ENR00006,2024-02-19,Present
ATT000066,ENR00006,2024-02-26,Present
ATT000067,ENR00006,2024-03-04,Present
ATT000068,ENR00006,2024-03-11,Absent
ATT000069,ENR00006,2024-03-18,Present
ATT000070,ENR00006,2024-03-25,Present
ATT000071,ENR00006,2024-04-01,Present
ATT000072,ENR00006,2024-04-08,Present
ATT000073,ENR00007,2024-01-22,Present
ATT000074,ENR00007,2024-01-29,Present
ATT000075,ENR00007,2024-02-05,Present
ATT000076,ENR00007,2024-02-12,Present
ATT000077,ENR00007,2024-02-19,Present
ATT000078,ENR00007,2024-02-26,Present
